timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,jerk,gyro_mag
1780239218640,,,,-0.08635853,0.40384638,-0.01641652,,,,0.0,0.41330278
1780239218643,0.13519448,6.5682983,7.5352974,-0.08635853,0.40384638,-0.01641652,,,,3332.3586,0.41330278
1780239218646,0.13519448,6.5682983,7.5352974,-0.08635853,0.40384638,-0.01641652,-6.675,-49.29375,-2.1937501,0.0,0.41330278
1780239218647,-0.059820566,6.593423,7.7270226,-0.08635853,0.40384638,-0.01641652,-6.675,-49.29375,-2.1937501,160.86101,0.41330278
1780239218647,-0.059820566,6.593423,7.7270226,-0.108654454,0.35558945,0.0458899,-6.675,-49.29375,-2.1937501,0.0,0.37464052
1780239218662,-0.059820566,6.593423,7.7270226,-0.1700446,0.14301461,0.1066692,-6.675,-49.29375,-2.1937501,0.0,0.24646838
1780239218663,-0.031106694,6.550352,7.932805,-0.1700446,0.14301461,0.1066692,-6.675,-49.29375,-2.1937501,129.79698,0.24646838
1780239218663,-0.031106694,6.550352,7.932805,-0.1700446,0.14301461,0.1066692,-6.9375005,-50.006252,-2.30625,0.0,0.24646838
1780239218676,-0.031106694,6.550352,7.932805,-0.21585815,-0.083915144,0.12652174,-6.9375005,-50.006252,-2.30625,0.0,0.26390195
1780239218677,0.12323037,6.4881387,8.053643,-0.21585815,-0.083915144,0.12652174,-6.9375005,-50.006252,-2.30625,55.006977,0.26390195
1780239218677,0.12323037,6.4881387,8.053643,-0.21585815,-0.083915144,0.12652174,-7.0312505,-49.968754,-3.4125001,0.0,0.26390195
1780239218696,0.12323037,6.4881387,8.053643,-0.1996707,-0.14622156,0.11522106,-7.0312505,-49.968754,-3.4125001,0.0,0.27299273
1780239218696,0.25124636,6.5575304,8.172386,-0.1996707,-0.14622156,0.11522106,-7.0312505,-49.968754,-3.4125001,0.0,0.27299273
1780239218698,0.25124636,6.5575304,8.172386,-0.1996707,-0.14622156,0.11522106,-6.6937504,-49.8375,-3.1312501,0.0,0.27299273
1780239218715,0.25124636,6.5575304,8.172386,-0.087274805,-0.06375718,0.09292514,-6.6937504,-49.8375,-3.1312501,0.0,0.14253755
1780239218715,0.28983065,6.5611196,8.247761,-0.087274805,-0.06375718,0.09292514,-6.6937504,-49.8375,-3.1312501,0.0,0.14253755
1780239218717,0.28983065,6.5611196,8.247761,-0.087274805,-0.06375718,0.09292514,-6.8437505,-49.818752,-2.8125,0.0,0.14253755
1780239218734,0.28983065,6.5611196,8.247761,0.06024481,0.059633963,0.061161082,-6.8437505,-49.818752,-2.8125,0.0,0.10452906
1780239218734,0.21535404,6.626922,8.036893,0.06024481,0.059633963,0.061161082,-6.8437505,-49.818752,-2.8125,0.0,0.10452906
1780239218738,0.21535404,6.626922,8.036893,0.06024481,0.059633963,0.061161082,-6.76875,-49.631252,-2.5125,0.0,0.10452906
1780239218753,0.21535404,6.626922,8.036893,0.16439427,0.1790546,0.025731942,-6.76875,-49.631252,-2.5125,0.0,0.24443437
1780239218753,-0.013160525,6.559923,7.9567337,0.16439427,0.1790546,0.025731942,-6.76875,-49.631252,-2.5125,0.0,0.24443437
1780239218757,-0.013160525,6.559923,7.9567337,0.16439427,0.1790546,0.025731942,-6.8812504,-49.443752,-2.4375,0.0,0.24443437
1780239218772,-0.013160525,6.559923,7.9567337,0.25907558,0.18577392,0.0019088977,-6.8812504,-49.443752,-2.4375,0.0,0.3188036
1780239218772,-0.35682967,6.5742803,8.140083,0.25907558,0.18577392,0.0019088977,-6.8812504,-49.443752,-2.4375,0.0,0.3188036
1780239218777,-0.35682967,6.5742803,8.140083,0.25907558,0.18577392,0.0019088977,-6.7875004,-49.8375,-2.5687501,0.0,0.3188036
1780239218791,-0.35682967,6.5742803,8.140083,0.3458159,0.16561596,0.019928891,-6.7875004,-49.8375,-2.5687501,0.0,0.38394588
1780239218791,-0.5697909,6.6687965,7.9591265,0.3458159,0.16561596,0.019928891,-6.7875004,-49.8375,-2.5687501,0.0,0.38394588
1780239218798,-0.5697909,6.6687965,7.9591265,0.3458159,0.16561596,0.019928891,-6.7312503,-49.818752,-2.34375,0.0,0.38394588
1780239218810,-0.5697909,6.6687965,7.9591265,0.35467318,0.13415733,0.06513159,-6.7312503,-49.818752,-2.34375,0.0,0.38475105
1780239218811,-0.7408777,6.7262244,7.559226,0.35467318,0.13415733,0.06513159,-6.7312503,-49.818752,-2.34375,253.70311,0.38475105
1780239218817,-0.7408777,6.7262244,7.559226,0.35467318,0.13415733,0.06513159,-6.5437503,-49.443752,-2.30625,0.0,0.38475105
1780239218829,-0.7408777,6.7262244,7.559226,0.30549997,0.027564483,0.12102412,-6.5437503,-49.443752,-2.30625,0.0,0.32975274
1780239218830,-0.8644072,6.8099732,7.5640116,0.30549997,0.027564483,0.12102412,-6.5437503,-49.443752,-2.30625,68.97354,0.32975274
1780239218837,-0.8644072,6.8099732,7.5640116,0.30549997,0.027564483,0.12102412,-6.6000004,-49.29375,-1.8375001,0.0,0.32975274
1780239218848,-0.8644072,6.8099732,7.5640116,0.30855423,-0.11751174,0.1246892,-6.6000004,-49.29375,-1.8375001,0.0,0.3529336
1780239218849,-0.811466,6.769295,7.872985,0.30855423,-0.11751174,0.1246892,-6.6000004,-49.29375,-1.8375001,200.1295,0.3529336
1780239218858,-0.811466,6.769295,7.872985,0.30855423,-0.11751174,0.1246892,-6.8250003,-49.256252,-1.5187501,0.0,0.3529336
1780239218867,-0.811466,6.769295,7.872985,0.3870481,-0.109265305,0.092314295,-6.8250003,-49.256252,-1.5187501,0.0,0.41263428
1780239218868,-0.72771716,6.943971,7.643274,0.3870481,-0.109265305,0.092314295,-6.8250003,-49.256252,-1.5187501,62.49332,0.41263428
1780239218877,-0.72771716,6.943971,7.643274,0.3870481,-0.109265305,0.092314295,-6.8625,-49.162502,-1.29375,0.0,0.41263428
1780239218887,-0.72771716,6.943971,7.643274,0.40354097,0.056274302,0.06818583,-6.8625,-49.162502,-1.29375,0.0,0.41311187
1780239218887,-0.7576275,7.0758758,7.242177,0.40354097,0.056274302,0.06818583,-6.8625,-49.162502,-1.29375,0.0,0.41311187
1780239218897,-0.7576275,7.0758758,7.242177,0.40354097,0.056274302,0.06818583,-6.9375005,-49.2,-1.06875,0.0,0.41311187
1780239218905,-0.7576275,7.0758758,7.242177,0.3742203,0.15309359,0.08192989,-6.9375005,-49.2,-1.06875,0.0,0.41254213
1780239218906,-1.0043873,7.233802,7.3749785,0.3742203,0.15309359,0.08192989,-6.9375005,-49.2,-1.06875,225.78047,0.41254213
1780239218917,-1.0043873,7.233802,7.3749785,0.3742203,0.15309359,0.08192989,-6.9,-49.425003,-0.71250004,0.0,0.41254213
1780239218924,-1.0043873,7.233802,7.3749785,0.36169794,0.13354649,0.13934954,-6.9,-49.425003,-0.71250004,0.0,0.40997362
1780239218925,-0.9445667,7.5233335,7.463513,0.36169794,0.13354649,0.13934954,-6.9,-49.425003,-0.71250004,260.23672,0.40997362
1780239218937,-0.9445667,7.5233335,7.463513,0.36169794,0.13354649,0.13934954,-7.275,-49.125004,-0.24375,0.0,0.40997362
1780239218943,-0.9445667,7.5233335,7.463513,0.3537569,0.104225814,0.1830251,-7.275,-49.125004,-0.24375,0.0,0.41171002
1780239218944,-0.60687965,7.663613,7.434799,0.3537569,0.104225814,0.1830251,-7.275,-49.125004,-0.24375,55.251118,0.41171002
1780239218957,-0.60687965,7.663613,7.434799,0.3537569,0.104225814,0.1830251,-7.5937505,-49.218754,-0.20625001,0.0,0.41171002
1780239218962,-0.60687965,7.663613,7.434799,0.32718506,0.066353284,0.17202985,-7.5937505,-49.218754,-0.20625001,0.0,0.37556237
1780239218963,-0.31256247,7.474281,7.2696943,0.32718506,0.066353284,0.17202985,-7.5937505,-49.218754,-0.20625001,263.39624,0.37556237
1780239218977,-0.31256247,7.474281,7.2696943,0.32718506,0.066353284,0.17202985,-7.8375,-49.406254,0.24375,0.0,0.37556237
1780239218982,-0.31256247,7.474281,7.2696943,0.26396236,0.013820419,0.11888615,-7.8375,-49.406254,0.24375,0.0,0.28982934
1780239218983,-0.18903299,7.4036922,7.2086773,0.26396236,0.013820419,0.11888615,-7.8375,-49.406254,0.24375,96.09794,0.28982934
1780239218998,-0.18903299,7.4036922,7.2086773,0.26396236,0.013820419,0.11888615,-7.7250004,-49.612503,0.63750005,0.0,0.28982934
1780239219001,-0.18903299,7.4036922,7.2086773,0.23280916,-0.0381016,0.07276718,-7.7250004,-49.612503,0.63750005,0.0,0.24687426
1780239219002,-0.11724831,7.5364943,7.2038918,0.23280916,-0.0381016,0.07276718,-7.7250004,-49.612503,0.63750005,91.18461,0.24687426
1780239219017,-0.11724831,7.5364943,7.2038918,0.23280916,-0.0381016,0.07276718,-7.8750005,-49.631252,0.73125005,0.0,0.24687426
1780239219020,-0.11724831,7.5364943,7.2038918,0.27373594,-0.025273805,0.051387526,-7.8750005,-49.631252,0.73125005,0.0,0.27966195
1780239219021,-0.04426722,7.626524,7.062715,0.27373594,-0.025273805,0.051387526,-7.8750005,-49.631252,0.73125005,31.736372,0.27966195
1780239219037,-0.04426722,7.626524,7.062715,0.27373594,-0.025273805,0.051387526,-8.08125,-49.74375,1.1625,0.0,0.27966195
1780239219039,-0.04426722,7.626524,7.062715,0.34642676,0.037948888,0.049860407,-8.08125,-49.74375,1.1625,0.0,0.35204783
1780239219039,0.08853444,7.630113,6.7334027,0.34642676,0.037948888,0.049860407,-8.08125,-49.74375,1.1625,0.0,0.35204783
1780239219058,0.08853444,7.630113,6.7334027,0.34642676,0.037948888,0.049860407,-8.231251,-49.443752,1.1812501,0.0,0.35204783
