timestamp,image_name,jerk,gyro_mag,trigger_reason
1780237798530,keyframe_1780237798530.jpg,11.05388,0.5097314,high_motion_transition
1780237799044,keyframe_1780237799044.jpg,54.705616,0.6561263,high_motion_transition
1780237799579,keyframe_1780237799579.jpg,19.74731,0.207591,sudden_movement
1780237800113,keyframe_1780237800113.jpg,12.875437,0.43903118,sudden_movement
1780237800628,keyframe_1780237800628.jpg,25.16365,0.09780157,sudden_movement
1780237801142,keyframe_1780237801142.jpg,20.903482,0.3189394,sudden_movement
1780237801715,keyframe_1780237801715.jpg,13.652515,0.3454446,sudden_movement
1780237802249,keyframe_1780237802249.jpg,84.298515,0.1852567,sudden_movement
1780237802916,keyframe_1780237802916.jpg,12.371276,0.1539724,sudden_movement
1780237803469,keyframe_1780237803469.jpg,12.590091,0.34076974,sudden_movement
1780237804003,keyframe_1780237804003.jpg,21.162247,0.2575192,sudden_movement
1780237804614,keyframe_1780237804614.jpg,12.721274,0.5264208,high_motion_transition
1780237805187,keyframe_1780237805187.jpg,11.085986,0.17491907,sudden_movement
1780237805853,keyframe_1780237805853.jpg,8.673072,0.76396483,high_motion_transition
1780237806369,keyframe_1780237806369.jpg,24.245104,0.41932344,sudden_movement
1780237806884,keyframe_1780237806884.jpg,10.604,0.5454208,high_motion_transition
1780237807551,keyframe_1780237807551.jpg,11.510252,0.47758475,sudden_movement
1780237808085,keyframe_1780237808085.jpg,48.450466,0.07370611,sudden_movement
1780237808600,keyframe_1780237808600.jpg,10.944748,0.16569954,sudden_movement
1780237809248,keyframe_1780237809248.jpg,12.105464,0.09874227,sudden_movement
1780237809763,keyframe_1780237809763.jpg,10.315683,0.18931901,sudden_movement
1780237810354,keyframe_1780237810354.jpg,11.422158,0.1914124,sudden_movement
1780237810869,keyframe_1780237810869.jpg,16.359648,0.5114593,high_motion_transition
1780237811385,keyframe_1780237811385.jpg,84.058754,0.41497758,sudden_movement
1780237811899,keyframe_1780237811899.jpg,21.615982,0.21088311,sudden_movement
1780237812490,keyframe_1780237812490.jpg,11.034489,0.19641563,sudden_movement
